,species,seizure,early,electrodeNum,meanCorr,mean,varVar,meanVar,delta,theta,alpha,beta,lowGamma,highGamma
Dog_3/Dog_3_interictal_segment_2568.mat,1.0,0.0,0.0,16.0,-0.04056606885057516,-7.390615897051588e-16,3113102.977022076,2201.002585761278,20723.6502703125,14153.1793328125,35709.0562078125,287656.95309140626,887338.7898906252,4778696.6127460925
Patient_2/Patient_2_interictal_segment_2015.mat,0.0,0.0,0.0,16.0,0.21372610795408828,-3.7918823636573496e-13,7000903.806664493,2057.2109025004997,178628.54059628025,187715.34634628025,206360.96084628027,870213.8131582611,1752464.8776128,3997301.2616726933
Patient_7/Patient_7_interictal_segment_1008.mat,0.0,0.0,0.0,36.0,0.35167624290596056,-2.7729482907387954e-13,92191057.134197,7203.341797970706,1399149.4825797342,1408819.774357512,1617151.4588019568,8322653.220975476,13033967.556263987,37563818.93370937
Patient_5/Patient_5_interictal_segment_2153.mat,0.0,0.0,0.0,64.0,0.17379409767212856,4.8802917262946774e-14,48459762.81798632,5792.691737836944,3625168.378996896,3802832.527815645,4218548.924346892,23710630.02258286,80440101.74341872,186722327.30366737
Dog_4/Dog_4_ictal_segment_0086.mat,1.0,1.0,0.0,16.0,-0.022473506640245944,-1.7564838472594603e-14,43390785.08112683,3723.053564771303,59254.4007453125,64385.3757453125,53662.7460578125,194562.5766351562,946098.9833906251,2535022.9644023427
Dog_2/Dog_2_interictal_segment_0401.mat,1.0,0.0,0.0,16.0,-0.05281250528250513,7.717576577803696e-15,5365564.395568838,3865.57883184524,53955.08164531249,51861.0157078125,48863.3594578125,367209.1245914063,1291378.5380156252,3570073.4893085943
Patient_6/Patient_6_interictal_segment_1392.mat,0.0,0.0,0.0,30.0,0.119519838534126,1.4053284758119847e-13,17806589.240178864,3559.403494749647,389118.2154186133,368259.58196528,338707.63005861326,1543544.3514304264,4066358.4485727996,9309909.918485198
Patient_5/Patient_5_ictal_segment_0077.mat,0.0,1.0,0.0,64.0,0.10198422420561278,5.240003986273228e-13,1488515798.9112535,29269.237243011725,5570835.908283678,5490682.69319618,5517355.987046185,25286850.917586,85925792.58829941,202599267.0562041
Patient_8/Patient_8_interictal_segment_1102.mat,0.0,0.0,0.0,16.0,0.2227939171676839,2.235083229606972e-13,151508786.2431404,5697.1884616223315,271655.23819092184,226246.35869092218,206373.50249092237,914984.1371091526,2334432.8901592284,10798150.79770039
Patient_5/Patient_5_interictal_segment_0326.mat,0.0,0.0,0.0,64.0,0.14698941063402876,-1.2566800933200286e-13,238962455.30455756,11684.270804415251,2184247.032144093,2164509.205350343,2279794.143531593,9915146.476276536,17954019.891647138,43172182.73442806
Patient_8/Patient_8_ictal_segment_0133.mat,0.0,1.0,0.0,16.0,0.5044688412208866,-2.0959305402357118e-13,29474159197.392086,74729.07596915147,2388785.2027133936,2463981.069213394,2654309.0679883948,13880470.095522782,42580499.420108974,197527686.804756
Dog_4/Dog_4_interictal_segment_1696.mat,1.0,0.0,0.0,16.0,-0.06258692371553043,-7.84539100351367e-15,112579.68543061217,721.356782581454,29855.8376125,32585.1801125,18315.6744875,80128.18175625001,178519.82674999995,480731.46934375
Patient_6/Patient_6_interictal_segment_1131.mat,0.0,0.0,0.0,30.0,0.11026429824957618,1.825355866458264e-14,238735142.85418472,12588.769794628295,745648.5846007154,734478.1155073822,741099.2411740487,3298220.5503498856,7633360.804073821,22278765.99343301
Dog_4/Dog_4_interictal_segment_2353.mat,1.0,0.0,0.0,16.0,-0.056473073880257116,3.958222638544839e-15,173807.5930341491,754.8512981672937,24298.2793078125,30056.003995312505,22686.0486828125,92624.97547890623,245702.04151562505,705560.4917460936
Dog_4/Dog_4_interictal_segment_1014.mat,1.0,0.0,0.0,16.0,-0.0582018660466507,-7.302491944471966e-15,1286823.1003780896,2003.0211877349625,24476.764776562504,16864.1760265625,34779.2463390625,189978.69086953122,382194.42776562495,1426663.106355469
Patient_2/Patient_2_interictal_segment_2302.mat,0.0,0.0,0.0,16.0,0.3562551714426289,-3.679815563373268e-13,1688813.6005170685,1114.557242393481,63852.22360025716,69448.05845025701,81298.51175025669,276684.009776158,519627.0633525772,1923180.4767571269
Dog_4/Dog_4_interictal_segment_1412.mat,1.0,0.0,0.0,16.0,-0.0622973696596572,2.7206015218439452e-15,49071.78239367862,400.1843127349625,28727.750657812507,23032.414407812506,9563.7640953125,42809.05780390624,134490.090328125,327867.23824609374
Dog_4/Dog_4_interictal_segment_2177.mat,1.0,0.0,0.0,16.0,-0.05677898600462621,-2.101652185615421e-15,1181737.971494611,1104.5102243890976,28222.9590765625,23497.062514062494,15013.1737640625,128192.47693828125,247837.18764062505,1353358.9697617185
Dog_1/Dog_1_interictal_segment_0414.mat,1.0,0.0,0.0,16.0,-0.02104318805199477,-1.337263633161001e-15,1010.9685634337976,20.197425986842088,187.32945156250003,254.29132656250005,276.22726406250007,1749.7886257812504,3194.194515625,45884.40507421877
Dog_2/Dog_2_interictal_segment_0955.mat,1.0,0.0,0.0,16.0,-0.06157361598553816,2.764455331316641e-15,44599004.07098506,12060.739461544485,291576.2826328125,244839.3073203125,179865.72200781247,1656552.0082539062,6971239.037578126,10640714.167558592
Dog_3/Dog_3_interictal_segment_2548.mat,1.0,0.0,0.0,16.0,-0.043030326173886406,2.739475313262574e-15,31396.45742586357,218.06319940476192,3365.606440625001,10300.186128125,8512.221440624999,75258.88742031249,90534.09628124998,221394.1908671875
Dog_4/Dog_4_ictal_segment_0067.mat,1.0,1.0,0.0,16.0,-0.023337199628775014,1.4923062785499044e-14,27331845.232010715,2958.354324874685,76062.761340625,28290.596340625,97443.199778125,378243.7407203125,705372.78809375,2411117.585617185
Patient_6/Patient_6_interictal_segment_2105.mat,0.0,0.0,0.0,30.0,0.3689088176660816,-9.835844139161057e-14,38007185.03039042,6620.661714749613,465340.26488777524,474840.6282611086,453338.456394442,2107112.8610416558,4454702.05362442,10060963.616500486
Dog_3/Dog_3_interictal_segment_3673.mat,1.0,0.0,0.0,16.0,-0.05650520703691665,-2.054190151312696e-15,163932.33890773234,611.2500375939848,25976.627378125,22047.648628125004,20666.880503125,47553.8150765625,314762.65159375,838609.1353984381
Patient_6/Patient_6_interictal_segment_1297.mat,0.0,0.0,0.0,30.0,0.1359219550333712,-8.67009172604109e-13,417803522.16956,12057.145869777964,1690629.7628777712,1682475.9565444381,1676278.1500111048,7499088.763109969,16194369.240897713,39408233.339898705
Dog_2/Dog_2_interictal_segment_0242.mat,1.0,0.0,0.0,16.0,-0.050859744539167015,-2.438355073408616e-14,2703708.8230271917,2589.8138921522545,25641.25182031249,22800.9158828125,25882.7840078125,75882.39709765626,300907.30539062485,2774254.3405273454
Patient_2/Patient_2_interictal_segment_0650.mat,0.0,0.0,0.0,16.0,0.5770838570536606,6.087249815323048e-13,592719.7940221911,1345.9366702740504,358747.5222739402,375606.1725989403,363961.8074489403,1665614.5705827326,4297389.5264144065,11839239.69878338
Dog_3/Dog_3_interictal_segment_4189.mat,1.0,0.0,0.0,16.0,-0.023976948878652947,-5.197231534026512e-16,549692.8887540144,790.0478614505014,24491.9806703125,8030.698170312501,14765.385670312498,89886.79973515624,254156.44357812495,466132.8792148437
Dog_1/Dog_1_ictal_segment_0016.mat,1.0,1.0,0.0,16.0,0.0378863852456249,-1.466937682437219e-14,905067713.1965687,21642.72075697056,384948.8409390625,293952.8153140625,453092.4734390625,4077076.9337570313,4970143.712828127,15013368.785667967
Dog_3/Dog_3_ictal_segment_0158.mat,1.0,1.0,0.0,16.0,-0.046227549101491336,-8.703593401548916e-15,9928420.071240697,4088.203175908523,80598.058678125,70773.47055312501,147971.23242812502,635387.9553015624,1117057.82115625,5282105.932085935
Patient_8/Patient_8_interictal_segment_1679.mat,0.0,0.0,0.0,16.0,0.9999977300630906,1.2392229109536856e-11,3073098016631.467,1096462547.4153519,119993526933.20387,121840704896.66885,97641511053.67128,127072985099.88588,648579388985.3965,1860264688632.1616
Patient_6/Patient_6_interictal_segment_1215.mat,0.0,0.0,0.0,30.0,0.15326162478026245,-1.0316822833071152e-12,203680812.20828503,14436.1118148003,1819243.024115041,1877814.4511817074,1890466.8255817075,8624560.091837684,20357423.12907041,68613325.83849694
Dog_3/Dog_3_interictal_segment_1090.mat,1.0,0.0,0.0,16.0,-0.05755510973392046,5.215272658176675e-16,66498.91137487066,433.9361575814535,13045.3514,12912.006400000002,13258.86265,71228.2463,146154.54649999994,386662.6547500001
Patient_6/Patient_6_interictal_segment_0333.mat,0.0,0.0,0.0,30.0,0.2442311294626801,5.059519025962802e-14,8341904.272609361,3978.319411874372,1298800.0289736318,1253211.2312802984,1221075.5145602988,5422116.7338880105,9815421.601376316,22526753.572694886
Patient_7/Patient_7_interictal_segment_0961.mat,0.0,0.0,0.0,36.0,0.20705387737480388,1.918023271072243e-13,55919889.0425437,8798.745662412495,1129198.754546617,1200136.979424393,1129682.3768021727,4908285.431620906,15535339.110232808,34655579.97745976
Patient_5/Patient_5_interictal_segment_1670.mat,0.0,0.0,0.0,64.0,0.20097315324075307,4.67468908027513e-13,660270057.8721862,14656.673036903621,1611113.2842641538,1413141.076245403,1386858.206645403,6260437.623869943,11130611.877479035,37446055.72903925
Dog_1/Dog_1_interictal_segment_0055.mat,1.0,0.0,0.0,16.0,-0.061411519178757513,1.301514451768071e-14,66961.35572989915,501.1571448151631,20889.697476562505,20027.879039062504,11897.3102890625,42551.888800781264,125608.215078125,525723.3691992187
Patient_5/Patient_5_interictal_segment_1823.mat,0.0,0.0,0.0,64.0,0.1041969737194972,1.301685870203073e-12,510132852.5240132,16981.526543007978,3723980.8151341,3424410.173684101,3151735.570634103,11886140.553547233,20195072.025572427,46776994.39583235
Dog_1/Dog_1_interictal_segment_0089.mat,1.0,0.0,0.0,16.0,-0.0550166042548622,-1.4020382077539749e-15,108406.96391377583,369.03083489974944,8303.440206249998,5312.56583125,6365.355831250001,65673.459678125,94642.7658125,375678.8937968749
Patient_2/Patient_2_interictal_segment_0753.mat,0.0,0.0,0.0,16.0,0.9818458736070472,-1.5688783605583018e-13,456153144.66320974,45396.89581994368,1678403.2960276534,1693351.4760776532,1644675.410227653,7468885.30729944,14890608.602626527,43723151.02403546
Patient_7/Patient_7_ictal_segment_0070.mat,0.0,1.0,0.0,36.0,0.13864543530245574,3.6561687011271707e-13,8006149629.146034,37480.21625976417,3799989.7405242487,3528446.425335361,3507545.0977020287,15974920.817086933,30577164.40137589,107101407.15093364
Patient_6/Patient_6_interictal_segment_0539.mat,0.0,0.0,0.0,30.0,0.29798163139468103,3.4840998826742456e-13,102502427.83116016,9831.629773734732,774472.6194962562,838472.328162923,784900.9046695895,3788173.2971131536,7899110.891815897,17523579.00427371
Patient_8/Patient_8_ictal_segment_0019.mat,0.0,1.0,0.0,16.0,0.07618574079892347,3.0629053071606906e-12,3966563184.612146,65706.95205287816,2799241.908787057,2710602.417237056,2612331.461812055,10672610.51882924,24109044.39889546,116719093.18818112
Dog_4/Dog_4_interictal_segment_2443.mat,1.0,0.0,0.0,16.0,-0.05378411839354201,-2.6615376569338883e-14,1535840.121860668,1754.7717618264414,78007.9235890625,113684.4339015625,77866.40921406249,547263.0275570311,853915.986515625,1227041.0885429692
Patient_2/Patient_2_interictal_segment_1235.mat,0.0,0.0,0.0,16.0,0.3920181698344321,-5.314177542459221e-13,401768.6668986801,737.6596244623987,84406.18052636669,83222.50900136672,85023.47202636665,374823.4838186498,868868.4236136655,1918589.049575088
Patient_2/Patient_2_interictal_segment_1904.mat,0.0,0.0,0.0,16.0,0.5133406343250897,1.7556658349349164e-13,72064.91484962912,787.7091607371462,195069.0000802011,205009.46763020122,215372.1928802012,1065909.005910906,2462749.5371520147,4358798.336205534
Patient_2/Patient_2_interictal_segment_0263.mat,0.0,0.0,0.0,16.0,0.4899619720036564,-8.676579454913737e-13,206552.73341776498,523.3364460792187,49942.22286271853,50585.01376271839,51356.13956271837,231871.40763223192,427305.64072718326,742630.6312747641
Patient_6/Patient_6_interictal_segment_2145.mat,0.0,0.0,0.0,30.0,0.14586398913265158,-6.70074769004714e-13,319488414.52855057,9863.57198378876,3177479.321263522,3164439.155983522,3075654.2833968564,13393205.950045845,28572228.55940855,57656194.12744014
